user_id,stage_order,stage
c7ce2d12156e,2,Sent 2 or more messages
9f2d3768beb5,0,Arrived
9f2d3768beb5,1,Sent a message
7c977f02bfe9,0,Arrived
dddc6142ec46,0,Arrived
dddc6142ec46,1,Sent a message
04cb2517ef64,0,Arrived
04cb2517ef64,1,Sent a message
04cb2517ef64,2,Sent 2 or more messages
886c4de0e15e,0,Arrived
886c4de0e15e,1,Sent a message
886c4de0e15e,2,Sent 2 or more messages
d09093012a62,0,Arrived
8759feb68258,0,Arrived
8759feb68258,1,Sent a message
8759feb68258,2,Sent 2 or more messages
445f8c30e657,0,Arrived
445f8c30e657,1,Sent a message
445f8c30e657,2,Sent 2 or more messages
445f8c30e657,3,Sent 7 or more messages
fc2b2710562a,0,Arrived
fc2b2710562a,1,Sent a message
6567fd8b98e1,0,Arrived
49d32c03804c,0,Arrived
49d32c03804c,1,Sent a message
49d32c03804c,2,Sent 2 or more messages
472a699ace80,0,Arrived
6eedeba579e8,0,Arrived
6eedeba579e8,1,Sent a message
54a45c3fe833,0,Arrived
54a45c3fe833,1,Sent a message
54a45c3fe833,2,Sent 2 or more messages
f6955c0ddf09,0,Arrived
f6955c0ddf09,1,Sent a message
f6955c0ddf09,2,Sent 2 or more messages
bb9ab96cf213,0,Arrived
bb9ab96cf213,1,Sent a message
bb9ab96cf213,2,Sent 2 or more messages
8f94e95702e9,0,Arrived
8f94e95702e9,1,Sent a message
8f94e95702e9,2,Sent 2 or more messages
df2315cbae47,0,Arrived
1244bca63bbc,0,Arrived
1244bca63bbc,1,Sent a message
1244bca63bbc,2,Sent 2 or more messages
6a8a6553d37c,0,Arrived
712e43e87c9d,0,Arrived
712e43e87c9d,1,Sent a message
712e43e87c9d,2,Sent 2 or more messages
c137032f95d9,0,Arrived
0083ec87957f,0,Arrived
0083ec87957f,1,Sent a message
77dfea4b3ab8,0,Arrived
77dfea4b3ab8,1,Sent a message
8ba79bdd901a,0,Arrived
8ba79bdd901a,1,Sent a message
01ef5a3bd732,0,Arrived
01ef5a3bd732,1,Sent a message
01ef5a3bd732,2,Sent 2 or more messages
d72beab625fc,0,Arrived
d72beab625fc,1,Sent a message
d72beab625fc,2,Sent 2 or more messages
19d1bcdf4a39,0,Arrived
19d1bcdf4a39,1,Sent a message
19d1bcdf4a39,2,Sent 2 or more messages
6779fc6ca75c,0,Arrived
6779fc6ca75c,1,Sent a message
6b27658db6ff,0,Arrived
db789f9ca2ec,0,Arrived
ccc810f98941,0,Arrived
ccc810f98941,1,Sent a message
ccc810f98941,2,Sent 2 or more messages
40f8794ebb5b,0,Arrived
40f8794ebb5b,1,Sent a message
40f8794ebb5b,2,Sent 2 or more messages
40f8794ebb5b,3,Sent 7 or more messages
9ca5279f044f,0,Arrived
9ca5279f044f,1,Sent a message
9ca5279f044f,2,Sent 2 or more messages
45e7ecc8527a,0,Arrived
08850488608f,0,Arrived
08850488608f,1,Sent a message
08850488608f,2,Sent 2 or more messages
556dae00d01f,0,Arrived
556dae00d01f,1,Sent a message
556dae00d01f,2,Sent 2 or more messages
7869e67ffa0e,0,Arrived
7869e67ffa0e,1,Sent a message
7869e67ffa0e,2,Sent 2 or more messages
d2892eaa1607,0,Arrived
d2892eaa1607,1,Sent a message
735f4ace2178,0,Arrived
735f4ace2178,1,Sent a message
5c53de3124be,0,Arrived
5c53de3124be,1,Sent a message
5c53de3124be,2,Sent 2 or more messages
5c53de3124be,3,Sent 7 or more messages
adfaefbb4401,0,Arrived
adfaefbb4401,1,Sent a message
adfaefbb4401,2,Sent 2 or more messages
ae909a599460,0,Arrived
ae909a599460,1,Sent a message
ae909a599460,2,Sent 2 or more messages
c9ea22770d07,0,Arrived
c9ea22770d07,1,Sent a message
586c8274d40e,0,Arrived
586c8274d40e,1,Sent a message
586c8274d40e,2,Sent 2 or more messages
627ca3a43260,0,Arrived
627ca3a43260,1,Sent a message
8cf5c750e3a9,0,Arrived
8cf5c750e3a9,1,Sent a message
ee97c8efb32c,0,Arrived
