city_canon,department,lat,lon
Bogotá,Bogotá,4.711,-74.0721
Medellín,Antioquia,6.2442,-75.5812
Cali,Valle del Cauca,3.4516,-76.532
Barranquilla,Atlántico,10.9685,-74.7813
Cúcuta,Norte de Santander,7.8939,-72.5078
Cartagena,Bolívar,10.391,-75.4794
Bucaramanga,Santander,7.1193,-73.1227
Santa Marta,Magdalena,11.2408,-74.199
Ipiales,Nariño,0.8303,-77.645
Riohacha,La Guajira,11.5444,-72.9072
Maicao,La Guajira,11.3776,-72.2389
Soacha,Cundinamarca,4.5794,-74.214
Necoclí,Antioquia,8.4256,-76.7789
