message_id,kind,entity
f3f62c408aa416ba,procedure,Educación
d054e02390c4299a,procedure,PPT
2b0ae963a2917997,procedure,PPT
2b0ae963a2917997,procedure,Trabajo/Empleo
16ca02a601a1a03b,procedure,PEP
7b69809f5972fe21,procedure,Refugio/Asilo
b70d7d2e438746a9,procedure,Emprendimiento
5b4416f39fec5b86,procedure,Trabajo/Empleo
e6a9ed87eaf6c141,procedure,Salud/EPS
18cb8a6697e63f74,procedure,Trabajo/Empleo
33619444c0eefbfe,procedure,Salvoconducto
c99c7a5ff3158999,procedure,Trabajo/Empleo
6be10be2898be88b,procedure,PPT
a4a32678367ba711,procedure,Pasaporte
464f793b85b6519a,procedure,Trabajo/Empleo
c14b32904caf56c7,procedure,Pasaporte
92e4d958b94c0b1d,procedure,Salvoconducto
552cfdcd84f45d2c,procedure,Salud/EPS
150528c301148218,procedure,SISBÉN
d4dbcab4ce6028d8,procedure,SISBÉN
b4052ed9039c18cd,procedure,PPT
f472213bbfce3e30,procedure,PPT
00a3ecf126a68731,procedure,PPT
724a506ed79741bc,procedure,Salvoconducto
1904b7d90eedb376,procedure,Trabajo/Empleo
a2fad4248c26ecbe,procedure,Nacionalidad/Naturalización
a2fad4248c26ecbe,procedure,Registro civil/Apostilla
a2fad4248c26ecbe,procedure,Cédula
562c62aa062cd073,procedure,Trabajo/Empleo
ea6c4e959b1f370e,procedure,Trabajo/Empleo
edb43484d9f0ac43,procedure,Vivienda/Arriendo
6c1fa6eb37bdc075,procedure,Ayuda económica
6cbb16e1dd055f06,procedure,Ayuda económica
7398cbb954a8f0b0,procedure,PPT
eb5bf9634bf74036,procedure,Salud/EPS
9334872e3bfdb958,procedure,PPT
e80e74c4263122eb,procedure,PPT
5f231fc9122904b5,procedure,Trabajo/Empleo
b7d212cdaffecad7,procedure,Emprendimiento
57ebe889a762ccd1,procedure,PPT
57ebe889a762ccd1,procedure,Salud/EPS
0e0f1ffb0c168285,procedure,Salvoconducto
f1fb59c0d3c3791c,procedure,Emprendimiento
eaff555539713e5c,procedure,Vivienda/Arriendo
eaff555539713e5c,procedure,Salvoconducto
eaff555539713e5c,procedure,PPT
eaff555539713e5c,procedure,SISBÉN
eaff555539713e5c,procedure,Salud/EPS
1cf8b3186ae24a15,procedure,PPT
6766ed03f9e323c0,procedure,Salud/EPS
7714a1a2e1c86e7f,procedure,Salvoconducto
572861bf829cfbc6,procedure,Salvoconducto
572861bf829cfbc6,procedure,Refugio/Asilo
0dd316209faeb7d0,procedure,Trabajo/Empleo
d57c49256116eef2,procedure,Trabajo/Empleo
82f363f295b6b5dc,procedure,Vivienda/Arriendo
82f363f295b6b5dc,procedure,Ayuda económica
68f9e9c66f767568,institution,ACNUR
d0a4acb77f8e21c0,procedure,Salvoconducto
d0a4acb77f8e21c0,procedure,Refugio/Asilo
3e2936d4d70bb8fe,procedure,Salvoconducto
8d313480e81434dd,procedure,PPT
8d313480e81434dd,institution,Migración Colombia
9076550d5221a28f,procedure,Registro civil/Apostilla
9076550d5221a28f,procedure,Visa
9076550d5221a28f,procedure,Regularización
9076550d5221a28f,procedure,Pasaporte
b86baaa54ec6b992,procedure,Registro civil/Apostilla
b86baaa54ec6b992,procedure,Visa
b86baaa54ec6b992,procedure,Regularización
b86baaa54ec6b992,procedure,Pasaporte
c3a30041c4e472cc,procedure,PPT
c3a30041c4e472cc,procedure,Salud/EPS
0ed23101eabf4c6a,procedure,PPT
7f3e4b97f5ea96d5,procedure,Registro civil/Apostilla
d09a5eff196ecde1,institution,Migración Colombia
d09a5eff196ecde1,procedure,Emprendimiento
973eb13569b7faab,procedure,Trabajo/Empleo
1abe7ba704e805e6,procedure,PPT
1abe7ba704e805e6,procedure,Regularización
1abe7ba704e805e6,procedure,Cédula
367f63ffa5a1bc47,procedure,Ayuda económica
79a432d657673920,procedure,Educación
6a85ec9ec1911c8e,procedure,Trabajo/Empleo
e228de1654c258cd,procedure,Salvoconducto
e228de1654c258cd,institution,Cancillería
e228de1654c258cd,institution,Migración Colombia
e228de1654c258cd,procedure,Salud/EPS
1eb689aaa794351c,procedure,Salvoconducto
1eb689aaa794351c,procedure,Salud/EPS
d99886291b867abc,procedure,Salvoconducto
d99886291b867abc,institution,Cancillería
36563f0e161a8e83,procedure,PPT
36563f0e161a8e83,procedure,SISBÉN
f02c24861d55c8f8,procedure,PPT
753d40ef3a24f5ad,procedure,PPT
f4062ff4787fd4f1,procedure,Emprendimiento
f4062ff4787fd4f1,procedure,Ayuda económica
c3d1e7d0f8bd3d06,procedure,PPT
c3d1e7d0f8bd3d06,procedure,Registro civil/Apostilla
9d6471a3d3f497f3,procedure,Registro civil/Apostilla
248dc5d9dee46bb0,procedure,Regularización
5bd90bcfa804a214,procedure,Trabajo/Empleo
64ade5047b193186,procedure,Salud/EPS
3b747bb16f8dcbf7,procedure,PPT
3b747bb16f8dcbf7,procedure,Salud/EPS
0c38cc32db2b023e,procedure,PPT
2677c6ce7433c6e6,procedure,Salvoconducto
0244302112fc1981,procedure,PPT
db99ec7ca5cdf1d7,procedure,PPT
2bff9e92790c7e70,procedure,Cédula
e12ed8e7c3c67770,procedure,PPT
fc9a6ec57d3649e6,procedure,Ayuda humanitaria
4d018e219552402c,procedure,Ayuda económica
082c28e892df5c7a,institution,Migración Colombia
a0c94f741308583d,procedure,Salud/EPS
62e8c76890839426,procedure,PPT
419f44f690fa56b0,procedure,PPT
216f5466e686454e,procedure,PPT
8b3e19424eb3b26c,institution,Migración Colombia
cfb9322a82c07946,procedure,Vivienda/Arriendo
93bfe21c8f48b9c8,procedure,PPT
93bfe21c8f48b9c8,institution,Migración Colombia
b15cb786e33f17af,procedure,Ayuda económica
0428d92df0d1c5d5,procedure,Trabajo/Empleo
2f88fc844375034b,procedure,Emprendimiento
7ba75d96ea105df6,procedure,Refugio/Asilo
7ba75d96ea105df6,procedure,Salud/EPS
4ffd9f20a92af24d,procedure,PPT
4ffd9f20a92af24d,procedure,Salud/EPS
bc936f7499c5021b,procedure,PPT
f3cf3887dacf82e7,procedure,Regularización
f3cf3887dacf82e7,procedure,Cédula
f3cf3887dacf82e7,procedure,Pasaporte
e08d7ba06cb19e52,procedure,PPT
e0f736fbd74fd5b1,procedure,Regularización
b1b2bd052a6cc6d4,procedure,Visa
471807de5c7e1cbe,procedure,Visa
d09f04a86677ed46,procedure,PPT
d09f04a86677ed46,procedure,Cédula
ad4dd63deff27a7a,procedure,PPT
ec1b22d0d8eb7d16,procedure,Trabajo/Empleo
f584f098d48e4814,procedure,Trabajo/Empleo
4270d2ecc0d67e42,procedure,Emprendimiento
f5e7048d5af9c2c2,procedure,PPT
79e94ed805b27f71,procedure,PPT
7f9a72bf4f326286,procedure,Salud/EPS
e1d3397a5d28ba8d,procedure,Regularización
3be5307b37527ca8,procedure,Regularización
3be5307b37527ca8,procedure,Salud/EPS
1445098157fd6be8,procedure,PPT
2d18187a72ea620b,procedure,PPT
2d18187a72ea620b,procedure,Cédula
b8c080340c497dc0,procedure,Pasaporte
8a5862f9678a43c3,procedure,Ayuda humanitaria
718e5329014224e8,procedure,PPT
718e5329014224e8,procedure,Cédula
14764621221adce0,procedure,Salvoconducto
14764621221adce0,procedure,Visa
14764621221adce0,procedure,Registro civil/Apostilla
14764621221adce0,procedure,Pasaporte
760e0ed48c075d04,procedure,Salvoconducto
fc76fae6aa2af3e2,procedure,PPT
fc76fae6aa2af3e2,procedure,Regularización
fc76fae6aa2af3e2,procedure,Cédula
f46ae541ded7d548,procedure,Visa
f46ae541ded7d548,procedure,PPT
f716009dfd6f061f,procedure,Salvoconducto
6eb9916d5526449d,procedure,PPT
029b71cf0221e047,procedure,PPT
c7b857cac5e362fc,procedure,PPT
c7b857cac5e362fc,procedure,Nacionalidad/Naturalización
c7b857cac5e362fc,procedure,Pasaporte
670e00f08067fb48,procedure,Visa
670e00f08067fb48,procedure,PPT
e585e74a55ac217e,procedure,Trabajo/Empleo
60b116181fdb0790,procedure,Regularización
60b116181fdb0790,procedure,Salud/EPS
f072692d86702ae7,procedure,Regularización
f072692d86702ae7,procedure,Salud/EPS
dc7d0bd3a8630ab0,procedure,Educación
dc7d0bd3a8630ab0,procedure,Salud/EPS
3dccb52cb93a296d,procedure,Ayuda humanitaria
170957dbc77d59c8,procedure,Regularización
2e506e3f3e48f4f3,procedure,PPT
6a30f377f8753da6,procedure,Visa
c6bef241bea1b31f,procedure,PPT
c6bef241bea1b31f,procedure,Regularización
c6bef241bea1b31f,procedure,Salud/EPS
c6bef241bea1b31f,procedure,Cédula
e664e2f06d33b00f,procedure,Salvoconducto
e664e2f06d33b00f,procedure,PPT
e795e5f5d1dd5aec,procedure,SISBÉN
e795e5f5d1dd5aec,procedure,Ayuda económica
387584a98759f807,procedure,Trabajo/Empleo
0d260b401bf12e6c,procedure,PPT
87e8e763fe2fdfb2,procedure,Cédula
cc1f4efbc3b1f9cb,procedure,PPT
6d717769a58c8d60,procedure,Trabajo/Empleo
9e4e00e133b3e1b9,procedure,PPT
9e4e00e133b3e1b9,procedure,Trabajo/Empleo
1e79c2897e005e52,procedure,PPT
8d874d674d6c6108,institution,ACNUR
d88466a36d53ffa6,procedure,Ayuda humanitaria
b68ad0a60ee9ef65,procedure,Ayuda humanitaria
335ce456997b7a58,institution,Migración Colombia
335ce456997b7a58,procedure,Cédula
335ce456997b7a58,procedure,Pasaporte
145775a6fc6e0e33,institution,Migración Colombia
899243328697fccf,procedure,Regularización
d75ac667c46169c1,procedure,PEP
4a688b1bd7f0a4f9,procedure,Salud/EPS
e6c98d16f64fc9bc,procedure,Salud/EPS
505f472f16c79ebd,procedure,Refugio/Asilo
505f472f16c79ebd,procedure,Cédula
d5430806cffbf7fb,procedure,Refugio/Asilo
7bd8a85db7153332,procedure,PPT
515c22c4e41446fe,procedure,Emprendimiento
b7b78eff3ed29f01,procedure,Ayuda económica
0a0d63c838617889,procedure,Emprendimiento
54731317c5a2e952,procedure,Emprendimiento
80a0577482572850,procedure,Trabajo/Empleo
2fb884c5ae1e9da4,procedure,Visa
5d0ba2923b303e74,procedure,PPT
23c1b7e2d3976f6d,procedure,Trabajo/Empleo
23c1b7e2d3976f6d,procedure,Salud/EPS
9dce477ea09c5cdd,procedure,Visa
9dce477ea09c5cdd,procedure,Trabajo/Empleo
ba78c596c2c14d79,procedure,PPT
9b736714347ae464,procedure,PPT
70ec63502a7a5f9b,procedure,PPT
1057d65c8518a752,procedure,Trabajo/Empleo
1057d65c8518a752,procedure,Salud/EPS
77a7ba6380e6475e,procedure,Emprendimiento
5e0b183b6f0964a8,procedure,Emprendimiento
b273df3c37ea5838,procedure,Emprendimiento
b80e28ea3bfac99a,procedure,PPT
a2a8e024f5ce843e,procedure,PPT
a2a8e024f5ce843e,procedure,Cédula
a2a8e024f5ce843e,procedure,Pasaporte
0ec17842b85badfb,procedure,Regularización
5c7c584658615c4c,procedure,Visa
6802b4167cab140a,procedure,Visa
17facf46fe9eef6a,procedure,Refugio/Asilo
17facf46fe9eef6a,procedure,Salud/EPS
35bea06b1ada9fb1,procedure,Salud/EPS
49e156100cc3c7b2,procedure,Trabajo/Empleo
8417d5733b4f2ac2,procedure,Ayuda económica
20aa70911b78c758,procedure,Trabajo/Empleo
9b73883ecd8ccef9,procedure,Trabajo/Empleo
4e8ab060359c37e6,procedure,Ayuda humanitaria
6a8e91241ad8f8ac,procedure,Vivienda/Arriendo
6a8e91241ad8f8ac,procedure,Ayuda humanitaria
8751acb0257e38ae,procedure,Ayuda humanitaria
286c5ddac3983c28,procedure,PPT
d15f87d6ff46ca25,procedure,Nacionalidad/Naturalización
929e2fb34c032070,procedure,PPT
c604e217a61bc1dc,procedure,PPT
005e5876e76ad2bb,procedure,PPT
b25b7a2174357d9b,procedure,Emprendimiento
f91316fe97631c32,procedure,PPT
887c6d2f00964d25,procedure,Ayuda económica
d712938bb5eac953,procedure,Ayuda humanitaria
c05f84dc9e0529ed,procedure,Trabajo/Empleo
c63df73007a227ab,procedure,Ayuda humanitaria
5e0911ffaa6a1c3a,procedure,Ayuda humanitaria
