user_id,x,y,cluster_id
0014ad7a21e3,10.576546,10.558424,1
006dab9688be,11.729461,9.797845,1
00b7b18ae81a,9.034341,8.151807,2
00e2a21037ac,5.272458,7.2098756,2
00e5e5188fa3,9.518651,10.11456,3
01a55f6e2bfc,6.013153,8.774025,2
01b6e41756d9,8.486887,10.812507,1
01c9824c67eb,5.31969,8.771755,0
01e874a94ef6,5.87327,9.138319,0
0216c17c32b9,6.114566,9.545293,0
025f8fa9b2ff,9.592165,11.639665,3
026d46d84f36,6.406681,10.579928,0
02764a615e66,12.368758,9.725937,1
02a905d8ae15,9.16598,9.739581,3
0337f971aa05,9.765209,11.691776,3
036275add5eb,6.8717246,6.5206666,2
0367a28c51cd,9.774062,8.584083,3
04561f6119e9,9.431512,7.3322353,3
046a939f1579,8.755288,10.832402,3
049ef16eb70d,4.738705,8.378761,0
0556605b2d5c,7.7627225,9.443995,0
057777824af7,7.1166987,9.962805,3
061eed24d599,7.405571,7.8082128,2
06433e895ee5,10.393236,10.5041895,1
0728fbb71e81,5.879529,8.583696,2
07328a0c07a6,10.145215,8.81308,3
075f884db357,10.151853,10.88344,3
07a493b2ddeb,7.6894965,10.513271,0
07fdee5981cb,6.1435356,10.037456,0
0809661b0bc4,8.115171,7.588676,2
086e0bde9d76,6.0512195,6.801379,2
09c51cd233c6,4.759992,7.8385754,2
0a2869cfe664,8.966059,9.407327,3
0a5b92f117c1,8.138546,9.92561,0
0a9de4272ae0,7.0036864,9.027379,0
0acb321354fe,8.31495,9.701274,1
0af1b20e629c,6.6784577,9.819626,0
0b98d3009cee,7.2275167,11.109437,0
0bd2b552813a,10.01017,9.92198,1
0bd6a1517cd4,8.724548,8.769463,2
0be817c3db2e,6.725232,6.6391797,2
0c2e8dcba2eb,9.473577,7.269029,3
0c775d73f6b8,8.452774,9.626057,3
0cd045787ad8,9.453268,9.918945,3
0d1a2ab1cda3,7.816702,11.419523,3
0d3864ce7985,11.697514,9.664602,1
0d4c00f44bf5,11.516812,10.163535,1
0d79522d75ab,8.158503,10.767813,0
0e39f120f47d,6.8801355,7.621023,2
0e4de81613cf,4.7290435,7.765686,2
0e62967fd27d,9.3751335,9.379837,3
0eceb4e2c434,6.3745894,9.493993,0
0f4d0aadbeb7,9.252149,12.359244,3
0fb335dc5958,7.164489,8.75504,0
10403265a7b9,6.6776752,6.7407956,2
106f48ba07b7,5.759414,9.615557,0
10bbd378898e,9.278187,7.9422827,3
11d359d29a07,4.6397586,7.7014794,2
11e3b5c0ff75,6.911976,7.1567507,2
1209a0c44415,11.31598,10.446974,1
1245b4e27da3,7.0774794,7.5280323,2
12a4d7d0b517,7.357621,11.000012,0
130232130f4e,6.0851555,7.0570006,2
133cfb98c56c,9.855782,9.554236,3
139c5bffa62f,6.7897606,6.5212774,2
13a0b790d57c,7.3586826,9.788824,2
13c78ef9081e,10.072041,11.776558,3
14930e78ce9a,7.591199,7.8507257,0
157aec2253fd,8.951689,7.491653,2
15dc0f6bbd54,5.8871827,8.234514,0
16a465fda40c,11.901348,10.084132,1
16dd8b39b4ea,6.1937904,10.200192,0
171ae6ceacf2,8.571664,10.941335,3
176ac8a2f9fb,8.525042,7.8355885,2
17ae63bbba2a,6.988693,7.7305536,2
17c99caae844,7.580868,10.49737,0
17db1913fc63,12.238763,9.980175,1
1848f211e243,9.535795,7.5172024,2
185a9a73040a,6.3223553,9.21271,0
1869a21f0508,10.570631,9.781914,1
194c0b66d618,9.175457,9.1002245,2
19d8b6f6f965,11.72815,9.68598,1
19fb6b4a45c3,12.405301,9.7738905,1
1a83a3c7f37a,6.3818097,9.894544,0
1ad08d444027,9.187178,9.134724,2
1b5222e497bf,7.864962,10.476665,0
1b62f7b2e3ab,5.7712736,9.018369,0
1b9a5105a9db,8.283204,9.4704275,0
1bf1b0378d93,8.516371,8.745653,3
1c4cccd51f1e,9.4608555,7.787591,2
1c6098ca81dd,8.750889,11.813418,3
1cb79f121916,9.335348,8.576808,1
1d6d8f86b6ae,6.164193,7.567375,0
1d77aaf2280a,8.572176,10.88217,0
1d9d9f68d199,6.548657,10.092237,0
1de87f03b7cb,9.672657,10.747649,0
1e01c7d59f5c,9.269531,7.497828,3
1fa40aefa1ca,11.2843485,9.54164,1
20338a2364a6,10.67283,9.811666,1
2040ec3fddb2,9.078397,11.951535,3
204861de9f07,7.933359,10.854008,0
205f6c912237,7.40518,7.499314,2
2191b93bf7b5,8.849005,8.397184,3
21996eb7014b,8.906607,8.966476,3
21d253a16688,5.9727974,10.57272,0
21fc9e9b5d1c,10.086923,10.754225,3
221fa9dcfc72,5.587356,9.324793,0
2245d475c707,9.683165,10.876285,3
224b0c65cba8,8.528435,7.8226037,2
22aede07eb2b,10.46902,9.917674,3
22b948dd4918,9.058606,8.684932,2
237cf28f02a2,6.2719936,8.887579,0
23e088703289,8.525488,9.885918,0
24210d0ef3a3,9.495951,12.245974,3
2483f48531ff,8.889824,9.371441,2
24abe8cb3a7d,6.9288096,8.16973,2
24e2b3678d0d,9.722461,11.362493,3
