user_id,ts,usefulness_rating,rating_num,would_recommend,recommendation_text,discovery_channel
6491eceed718,2026-03-26 00:47:35.583,Muy útil,5,Sí,Excelente,Recomendación de una ONG
25f72e684000,2026-03-26 10:12:14.030,Nada útil,1,Prefiero no responder,"Ayuda, no se cómo activar mi línea nueva Tigo y mi internet",Otro
90f9b9d9f534,2026-03-27 03:36:50.975,Medianamente útil,3,Prefiero no responder,No,Recomendación de una ONG
f35294957acf,2026-03-27 11:47:53.350,Nada útil,1,Prefiero no responder,No recibí información,Otro
ebf63a1e9924,2026-03-27 14:01:17.826,Útil,4,Sí,Todo bien gracias 😌🫂,Recomendación de una ONG
41662a74fa3e,2026-04-13 23:01:36.202,Nada útil,1,Prefiero no responder,Ayudas en Bucaramanga,Recomendación de otro migrante
0556605b2d5c,2026-04-14 12:54:34.983,Medianamente útil,3,Sí,Me necesito hablo con persona ! Esto es urgencia !!!!,Cartelera en un punto de atención
21d253a16688,2026-04-19 19:49:21.138,Muy útil,5,Sí,Será que hay un punto de atención para los migrante vía cali,Recomendación de una ONG
719105037cd3,2026-04-21 22:15:36.610,Muy útil,5,Sí,No,Otro
24e2b3678d0d,2026-04-22 01:21:25.169,Nada útil,1,Sí,Que respondan todas las dudas,Redes sociales
0a2869cfe664,2026-04-22 20:45:36.902,Medianamente útil,3,Prefiero no responder,Actualizar la dirección de Migración Colombia en Cúcuta,Cartelera en un punto de atención
cf027211d091,2026-04-28 12:09:23.344,Muy útil,5,Sí,Q dan informaciónes buenas,Recomendación de otro migrante
