user_id,instrument_version,gender_clean,age_num,age_flag,city_canon,department,nationality_canon,away_duration_canon,away_duration_order,city_duration_canon,city_duration_order,n_questions,minors,destination_country,language,registration_status,attempts,is_returning,safety_alert,escalation_status,age_range,age_range_order,session_minutes,n_msgs_user,has_text,first_seen,registered_at,is_repeat_asker,intends_to_stay,cluster_id,subcluster_id,subcluster_name
02e50709eb06,v1,Man,24.0,ok,Medellín,Antioquia,Venezuela,5+ years,4.0,1+ year,4.0,0.0,No,,Spanish,Completed,,,,,18-24,1,,0,False,,2026-06-02 13:12:07.929,False,True,-1,-10,No conversation text
0337f971aa05,v1,Woman,40.0,ok,Medellín,Antioquia,Venezuela,5+ years,4.0,1+ year,4.0,3.0,Yes,Colombia,Spanish,Completed,,,,,35-44,3,,4,True,2026-05-28 21:36:23.167,2026-05-28 21:36:23.167,False,True,2,22,Apostilles and birth records
036275add5eb,v1,Woman,24.0,ok,Bogotá,Bogotá,Venezuela,3–12 months,2.0,4–6 months,2.0,0.0,Yes,Colombia,Spanish,Completed,,,,,18-24,1,,1,True,2026-06-15 19:06:58.119,2026-06-15 19:06:58.119,False,True,5,50,Services and integration
0367a28c51cd,v1,Woman,33.0,ok,Santa Marta,Magdalena,Venezuela,5+ years,4.0,1+ year,4.0,1.0,Yes,Colombia,Spanish,Completed,,,,,25-34,2,,2,True,2026-06-12 18:48:14.471,2026-06-12 18:48:14.471,False,True,2,21,Regularising status abroad
0383b80046b9,v1,Woman,27.0,ok,Barranquilla,Atlántico,Venezuela,1–5 years,3.0,1+ year,4.0,0.0,Yes,Argentina,Spanish,Completed,,,,,25-34,2,,0,False,,2026-06-15 09:43:15.982,False,False,-1,-10,No conversation text
039db1e8437e,v1,Man,53.0,ok,Cúcuta,Norte de Santander,Venezuela,5+ years,4.0,1+ year,4.0,1.0,No,Colombia,Spanish,Completed,,,,,45-54,4,,1,True,2026-07-15 00:56:05.778,2026-07-15 00:56:05.778,False,True,1,10,Biometrics and minors' documents
04561f6119e9,v1,Woman,30.0,ok,Medellín,Antioquia,Venezuela,5+ years,4.0,1+ year,4.0,3.0,No,Colombia,Spanish,Completed,,,,,25-34,2,,2,True,2026-05-30 14:46:10.144,2026-05-30 14:46:10.144,False,True,3,30,Visas and travel abroad
046a939f1579,v1,Woman,25.0,ok,Medellín,Antioquia,Venezuela,3–12 months,2.0,7–12 months,3.0,6.0,Yes,Colombia,Spanish,Completed,,,,,25-34,2,,7,True,2026-04-18 12:42:15.903,2026-04-18 12:42:15.903,True,True,2,20,Family nationality options
049ef16eb70d,v1,Woman,47.0,ok,Medellín,Antioquia,Venezuela,1–5 years,3.0,1+ year,4.0,1.0,No,Colombia,Spanish,Completed,,,,,45-54,4,,2,True,2026-05-28 22:54:38.468,2026-05-28 22:54:38.468,False,True,0,0,Starting a business
0556605b2d5c,v1,Man,45.0,ok,Medellín,Antioquia,Bulgaria,3–12 months,2.0,4–6 months,2.0,4.0,No,Colombia,Spanish,Completed,,,,,45-54,4,,7,True,2026-04-08 20:52:18.934,2026-04-08 20:52:18.934,True,True,4,40,Health access and registration
