week,cluster_id,user_id,n
2026-03-23,0,7205b06dde9e,1
2026-03-23,1,02764a615e66,1
2026-03-23,1,9c79fc78d797,2
2026-03-23,1,bc23c504be66,1
2026-03-23,1,d34943bfdf8b,2
2026-03-23,1,df79cf3d1d84,1
2026-03-23,2,25f72e684000,1
2026-03-23,2,2b0c382722d0,3
2026-03-23,2,2be96f37218b,1
2026-03-23,2,46030f16eeeb,6
2026-03-23,2,4a9224ec0d8e,8
2026-03-23,2,4c27be02ace9,2
2026-03-23,2,5804605991cf,2
2026-03-23,2,6863d38c2d07,5
2026-03-23,2,851cf3b82b01,4
2026-03-23,2,8c55a7380118,9
2026-03-23,2,a5a1de8d5d8f,12
2026-03-23,2,e80a36af12e5,2
2026-03-23,3,1c4cccd51f1e,1
2026-03-23,3,40cbebbd504b,3
2026-03-23,3,573843e5bd1e,3
2026-03-23,3,782bc1dc9626,2
2026-03-23,3,bcb32a25466f,1
2026-03-23,3,d198e5adc768,1
2026-03-23,3,ebf63a1e9924,4
2026-03-23,4,0fb335dc5958,5
2026-03-23,4,6650942ea6ea,6
2026-03-23,4,67137155144d,16
2026-03-23,4,8e5b3257d1da,8
2026-03-23,4,8f22a38fba39,1
2026-03-23,4,8f8014dd3ca2,3
2026-03-23,4,a26eecc89b56,9
2026-03-23,4,a6642232899b,4
2026-03-23,4,cf1e2d9e5c95,14
2026-03-23,4,f90a785a914c,1
2026-03-23,5,8515b9337673,2
2026-04-06,0,456b1a830844,3
2026-04-06,1,ae3786c10d54,2
2026-04-06,1,c30ddc5d3f63,4
2026-04-06,2,970c5e6500df,3
2026-04-06,2,acf5c6560459,1
2026-04-06,2,b742052b3783,4
2026-04-06,4,0556605b2d5c,6
2026-04-06,4,07fdee5981cb,2
2026-04-06,4,41662a74fa3e,10
2026-04-06,4,4b8af1d9e6e6,4
2026-04-06,4,4dbeb691b609,6
2026-04-06,4,50fdccfb1891,12
2026-04-06,4,719105037cd3,17
2026-04-06,4,aa5cfb011785,6
2026-04-06,4,f2d9ee2f480b,5
2026-04-06,5,205f6c912237,1
2026-04-13,0,32fdecd17449,4
2026-04-13,0,6695107cea34,2
2026-04-13,0,ad0d0436a635,1
2026-04-13,1,9ec54a2a09b9,6
2026-04-13,2,046a939f1579,7
2026-04-13,2,24e2b3678d0d,3
2026-04-13,2,4dc5923f9d21,3
2026-04-13,2,9fc2d4ba36e4,7
2026-04-13,2,a2e7a4a72fef,1
2026-04-13,2,bd72935f5518,1
2026-04-13,2,c70fc546cae1,2
2026-04-13,2,d1ca95b614c6,2
2026-04-13,3,0a2869cfe664,2
2026-04-13,3,26c37c7c3dcf,5
2026-04-13,3,a741d3529eec,1
2026-04-13,3,b4ee5ceb484c,2
2026-04-13,4,0556605b2d5c,1
2026-04-13,4,16dd8b39b4ea,3
2026-04-13,4,21d253a16688,4
2026-04-13,4,41662a74fa3e,5
2026-04-13,4,4c5d5996085f,6
2026-04-13,4,b71b48b68419,4
2026-04-13,4,f8df33a0bed7,3
2026-04-13,4,f9c69cf01445,2
