cluster_id,user_id,messages,users,unmet_need,name,top_terms,color_hex
5,f5a245a65843,2,1,-1.2616975863533668,"Cluster 5 · colombiana, colombiano, pasaporte","colombiana, colombiano, pasaporte, colombianos, venezuela, años",#a3557a
2,f5c65447592e,5,1,-2.2794586916132737,Urgent humanitarian needs,"hospital, ipiales, nuevo, terminal, registrarme, dinero",#009ba4
6,f61075c58c43,1,1,-1.2616975863533668,"Cluster 6 · humanitaria, alimentos, humanitarias","humanitaria, alimentos, humanitarias, terminal, bucaramanga, ayudas",#671e42
5,f612c9db65bf,2,1,2.6558751917559964,"Cluster 5 · colombiana, colombiano, pasaporte","colombiana, colombiano, pasaporte, colombianos, venezuela, años",#a3557a
3,f6167c66c4ef,2,1,-1.2616975863533668,"Permits, visas and travel","salvoconducto, conducto, pasaporte, salvo, permiso, estudio",#c78fa4
6,f6195c2e45a8,6,1,-1.2616975863533668,"Cluster 6 · humanitaria, alimentos, humanitarias","humanitaria, alimentos, humanitarias, terminal, bucaramanga, ayudas",#671e42
2,f64d330feb5a,4,1,-2.2794586916132737,Urgent humanitarian needs,"hospital, ipiales, nuevo, terminal, registrarme, dinero",#009ba4
7,f655c3640a9c,1,1,-1.2616975863533668,Building a livelihood,"emprendimiento, capital, negocio, emprendimientos, emprendedores, empleabilidad",#eef6f5
0,f6955c0ddf09,2,1,-1.2616975863533668,Settling in,"humanitaria, casa, humanitarias, ipiales, documentos, laboral",#a6dfe3
5,f696796581e3,1,1,-1.2616975863533668,"Cluster 5 · colombiana, colombiano, pasaporte","colombiana, colombiano, pasaporte, colombianos, venezuela, años",#a3557a
2,f69be2a55113,6,1,0.33225649379296857,Urgent humanitarian needs,"hospital, ipiales, nuevo, terminal, registrarme, dinero",#009ba4
0,f6ffa029142b,1,1,-1.2616975863533668,Settling in,"humanitaria, casa, humanitarias, ipiales, documentos, laboral",#a6dfe3
6,f75b72879f1a,6,1,0.044160006349754276,"Cluster 6 · humanitaria, alimentos, humanitarias","humanitaria, alimentos, humanitarias, terminal, bucaramanga, ayudas",#671e42
7,f77d7d730827,3,1,-1.2616975863533668,Building a livelihood,"emprendimiento, capital, negocio, emprendimientos, emprendedores, empleabilidad",#eef6f5
2,f7a00d1f924f,1,1,5.555686864605455,Urgent humanitarian needs,"hospital, ipiales, nuevo, terminal, registrarme, dinero",#009ba4
1,f8326548cfaf,5,1,3.1691336635778087,Nationality and family papers,"colombiana, pasaporte, años, colombianos, colombiano, ella",#62c8ce
5,f846ecc165f0,1,1,-1.2616975863533668,"Cluster 5 · colombiana, colombiano, pasaporte","colombiana, colombiano, pasaporte, colombianos, venezuela, años",#a3557a
4,f8568f28e13d,2,1,-1.2616975863533668,Stuck mid-procedure,"años, biometría, trámite, duplicado, rumv, traslado",#000031
5,f8915ce811fa,1,1,-1.2616975863533668,"Cluster 5 · colombiana, colombiano, pasaporte","colombiana, colombiano, pasaporte, colombianos, venezuela, años",#a3557a
1,f8a90db52737,7,1,2.7214110603653094,Nationality and family papers,"colombiana, pasaporte, años, colombianos, colombiano, ella",#62c8ce
6,f8df33a0bed7,10,1,-4.130341852178619,"Cluster 6 · humanitaria, alimentos, humanitarias","humanitaria, alimentos, humanitarias, terminal, bucaramanga, ayudas",#671e42
2,f90a785a914c,1,1,-2.2794586916132737,Urgent humanitarian needs,"hospital, ipiales, nuevo, terminal, registrarme, dinero",#009ba4
1,f92f97820aa4,4,1,2.54475745635273,Nationality and family papers,"colombiana, pasaporte, años, colombianos, colombiano, ella",#62c8ce
1,f98279ef0fbb,4,1,0.5859710672980483,Nationality and family papers,"colombiana, pasaporte, años, colombianos, colombiano, ella",#62c8ce
1,f9a08781f2e1,2,1,-1.3728153217566337,Nationality and family papers,"colombiana, pasaporte, años, colombianos, colombiano, ella",#62c8ce
1,f9c6990c9ee3,5,1,-1.3728153217566337,Nationality and family papers,"colombiana, pasaporte, años, colombianos, colombiano, ella",#62c8ce
6,f9c69cf01445,2,1,-1.2616975863533668,"Cluster 6 · humanitaria, alimentos, humanitarias","humanitaria, alimentos, humanitarias, terminal, bucaramanga, ayudas",#671e42
2,f9cf071cedbb,5,1,-2.2794586916132737,Urgent humanitarian needs,"hospital, ipiales, nuevo, terminal, registrarme, dinero",#009ba4
6,f9d6c94199a5,5,1,0.3053315248903787,"Cluster 6 · humanitaria, alimentos, humanitarias","humanitaria, alimentos, humanitarias, terminal, bucaramanga, ayudas",#671e42
7,f9dabca94541,2,1,-1.2616975863533668,Building a livelihood,"emprendimiento, capital, negocio, emprendimientos, emprendedores, empleabilidad",#eef6f5
2,f9e0a0a060ed,4,1,-2.2794586916132737,Urgent humanitarian needs,"hospital, ipiales, nuevo, terminal, registrarme, dinero",#009ba4
4,f9e1e99d614e,1,1,6.573447969865362,Stuck mid-procedure,"años, biometría, trámite, duplicado, rumv, traslado",#000031
3,fa203c8b7aaa,2,1,-1.2616975863533668,"Permits, visas and travel","salvoconducto, conducto, pasaporte, salvo, permiso, estudio",#c78fa4
3,fa43dffe7a35,1,1,6.573447969865362,"Permits, visas and travel","salvoconducto, conducto, pasaporte, salvo, permiso, estudio",#c78fa4
3,fa61f37c486f,3,1,-1.2616975863533668,"Permits, visas and travel","salvoconducto, conducto, pasaporte, salvo, permiso, estudio",#c78fa4
7,fb0e60c91527,1,1,-1.2616975863533668,Building a livelihood,"emprendimiento, capital, negocio, emprendimientos, emprendedores, empleabilidad",#eef6f5
6,fb7dfffdbe45,4,1,0.697088802701315,"Cluster 6 · humanitaria, alimentos, humanitarias","humanitaria, alimentos, humanitarias, terminal, bucaramanga, ayudas",#671e42
0,fbacd5d9fac6,1,1,-1.2616975863533668,Settling in,"humanitaria, casa, humanitarias, ipiales, documentos, laboral",#a6dfe3
2,fbd40694fd86,12,1,-1.6265298952617133,Urgent humanitarian needs,"hospital, ipiales, nuevo, terminal, registrarme, dinero",#009ba4
4,fc2b2710562a,1,1,-1.2616975863533668,Stuck mid-procedure,"años, biometría, trámite, duplicado, rumv, traslado",#000031
1,fc5afa9539ce,6,1,3.850615049055851,Nationality and family papers,"colombiana, pasaporte, años, colombianos, colombiano, ella",#62c8ce
5,fcf527dbf6de,3,1,-1.5267736298454968,"Cluster 5 · colombiana, colombiano, pasaporte","colombiana, colombiano, pasaporte, colombianos, venezuela, años",#a3557a
2,fd114b1912b6,7,1,2.1977673405117133,Urgent humanitarian needs,"hospital, ipiales, nuevo, terminal, registrarme, dinero",#009ba4
4,fd1c4099fa6b,2,1,2.6558751917559964,Stuck mid-procedure,"años, biometría, trámite, duplicado, rumv, traslado",#000031
5,fd66527a6032,9,1,1.7132222877373298,"Cluster 5 · colombiana, colombiano, pasaporte","colombiana, colombiano, pasaporte, colombianos, venezuela, años",#a3557a
4,fd6dddfbb46f,1,1,6.573447969865362,Stuck mid-procedure,"años, biometría, trámite, duplicado, rumv, traslado",#000031
5,fe3fb489daaa,2,1,-1.2616975863533668,"Cluster 5 · colombiana, colombiano, pasaporte","colombiana, colombiano, pasaporte, colombianos, venezuela, años",#a3557a
