cluster_id,name,matched_term,message,user_id
0,Building a livelihood,emprendimiento,Hola me gustaría q me diera información sobre... empleo o emprendimiento.,0b28baceb4e4
1,Stuck mid-procedure,rumv,Pero luego del biométrico  puedo usar el rumv para afiliación de eps,06433e895ee5
2,Nationality and family papers,nacionalidad,Y que documentos necesito para darle la nacionalidad venezolana a mi hija,0337f971aa05
3,"Permits, visas and travel",visitante,Me dijeron que puedo hacer una visa especial de visitante ya que mi pasaporte está vigente y el último sello de entrada fué en 2023,21fc9e9b5d1c
4,Urgent humanitarian needs,terminal,Cual ayuda mas recurrente da el pao en Medellín terminal del norte,460d24f18102
5,Settling in,humanitarias,Saber que ayudas humanitarias ofrecen para retornar a mi pais,9802841c02ed
