week,mean_rating,n
2026-03-29,2.8,5
2026-04-05,,0
2026-04-12,,0
2026-04-19,3.0,3
2026-04-26,3.0,3
2026-05-03,4.0,3
2026-05-10,3.0,5
2026-05-17,3.6,5
2026-05-24,4.666666666666667,3
2026-05-31,3.6,10
2026-06-07,3.857142857142857,7
2026-06-14,4.166666666666667,6
2026-06-21,5.0,2
2026-06-28,4.083333333333333,12
2026-07-05,4.4,5
