metric,exported_value,reconciliation_value,match
users,1392.0,1392.0,True
messages,4663.0,4663.0,True
users_with_text,1198.0,1198.0,True
meal_responses,115.0,115.0,True
repeat_askers_pct,10.6,10.6,True
