theme,slug,n_messages,n_users
Enterprise & livelihood,entrepreneurship,102,85
Transport & movement,transport_logistics,80,59
Stuck in a procedure,procedure_troubleshooting,35,24
Reach a person,human_handoff,20,20
Fraud & scams,fraud_protection,6,5
Connectivity / phone,connectivity,3,3
