city_canon,department,n_users
Barranquilla,Atlántico,100
Bogotá,Bogotá,109
Bucaramanga,Santander,7
Cali,Valle del Cauca,10
Cartagena,Bolívar,1
Cúcuta,Norte de Santander,73
Ipiales,Nariño,31
Maicao,La Guajira,6
Medellín,Antioquia,332
Necoclí,Antioquia,6
Otra,Atlántico,1
Otra,Bogotá,1
Otra,,133
Riohacha,La Guajira,8
Santa Marta,Magdalena,54
Soacha,Cundinamarca,45
